Objects as per RHP _x000D_,IPO Funds utilised _x000D_
Repayment of borrowings _x000D_,3.10 _x000D_
Capital Expenditure _x000D_,8.09 _x000D_
Working capital _x000D_,1.24 _x000D_
General Corporate purpose _x000D_,14.57 _x000D_
Total _x000D_,27.00 _x000D_
