Unnamed: 0,Unnamed: 1,(₹ in lakhs) _x000D_
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Export of Goods calculated on FOB basis _x000D_," 7,078.07 _x000D_"," 6,872.64 _x000D_"
Total _x000D_," 7,078.07 _x000D_"," 6,872.64 _x000D_"
