Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Authorised Share Capital _x000D_,,
"Equity Shares, of ₹ 10 each, 25000000 (Previous Year -25000000) Equity Shares _x000D_"," 2,500.00 _x000D_"," 2,500.00 _x000D_"
"Issued, Subscribed and Fully Paid up Share Capital _x000D_",,
"Equity Shares, of ₹ 10 each, 20413825 (Previous Year -15009025) Equity Shares _x000D_"," 2,041.38 _x000D_"," 1,500.90 _x000D_"
paid up _x000D_,,
Total _x000D_," 2,041.38 _x000D_"," 1,500.90 _x000D_"
