Unnamed: 0,(₹ in lakhs) _x000D_,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Secured Term loans from banks _x000D_,-   _x000D_," 1,229.21 _x000D_"
Total _x000D_,-   _x000D_," 1,229.21 _x000D_"
