Particulars _x000D_,31 March 2025 _x000D_,Unnamed: 2,31 March 2024 _x000D_,Unnamed: 4
,No. of shares _x000D_,In % _x000D_,No. of shares _x000D_,In % _x000D_
Name of Shareholder _x000D_,,,,
Mukesh Vasani _x000D_," 1,23,15,735 _x000D_",60.33% _x000D_," 1,23,05,335 _x000D_",81.99% _x000D_
Nirmal Vasani _x000D_," 11,93,050 _x000D_",5.84% _x000D_," 11,93,050 _x000D_",7.95% _x000D_
Dhruti Vasani _x000D_," 10,12,500 _x000D_",4.96% _x000D_," 10,12,500 _x000D_",6.75% _x000D_
