(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
,,
Selling & Distribution Expenses _x000D_,,
- Business Promotion _x000D_, 3.85 _x000D_, 1.46 _x000D_
- Exhibition Expenses _x000D_, 41.55 _x000D_,-   _x000D_
Other Business Administrative Expenses _x000D_, 6.33 _x000D_, 2.03 _x000D_
Telephone expenses _x000D_,,
- Telephone and Internet _x000D_, 2.50 _x000D_, 1.61 _x000D_
Travelling Expenses _x000D_, 28.06 _x000D_, 23.57 _x000D_
Other Expenses _x000D_,,
- Consumption of Stores and spares _x000D_, 2.52 _x000D_, 0.24 _x000D_
- Corporate Social Responsibility _x000D_, 15.93 _x000D_, 15.00 _x000D_
- Disburshment Fees _x000D_, 12.35 _x000D_, 8.07 _x000D_
- Entertainment & Meals _x000D_, 8.26 _x000D_,-   _x000D_
- Gain / Loss of Foreign Exchange Rate Fluctuations _x000D_, (179.90) _x000D_, 89.89 _x000D_
- GST Expense _x000D_, 1.06 _x000D_, 43.72 _x000D_
- Hotel Expenses _x000D_, 2.72 _x000D_, 1.05 _x000D_
- I.T. Technical Services _x000D_, 5.57 _x000D_, 1.62 _x000D_
- Interest on TDS and others _x000D_, 2.47 _x000D_, 14.15 _x000D_
- Loading & Unloading Charges _x000D_, 8.64 _x000D_, 2.02 _x000D_
- Loss on sale of fixed assets _x000D_,-   _x000D_, 1.99 _x000D_
- Maintenance Exp _x000D_, 9.71 _x000D_, 7.01 _x000D_
- Manpower Recruitment Expense _x000D_, 15.10 _x000D_, 10.61 _x000D_
- Shipping Handling Charges _x000D_, 4.44 _x000D_, 2.79 _x000D_
- Sitting Fees of Independent Directors _x000D_, 1.05 _x000D_,-   _x000D_
- Software Upgradation / Renewal Charges _x000D_, 5.71 _x000D_, 13.44 _x000D_
- Utilities - Water _x000D_, 2.93 _x000D_, 2.29 _x000D_
- Warehouse / Storage Charges / Bonded Charges _x000D_, 6.34 _x000D_, 3.33 _x000D_
, 399.51 _x000D_, 606.69 _x000D_
