(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Interest expense _x000D_, 23.77 _x000D_, 153.52 _x000D_
Bank Charges _x000D_,-   _x000D_, 4.69 _x000D_
Total _x000D_, 23.77 _x000D_, 158.21 _x000D_
