(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
,,
Provision for income tax _x000D_,,
- Provision for income tax _x000D_, 675.00 _x000D_, 486.00 _x000D_
Others _x000D_,,
- Provision for Expense _x000D_, 20.20 _x000D_, 9.16 _x000D_
Total _x000D_, 695.20 _x000D_, 495.16 _x000D_
