(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Opening Inventories _x000D_,,
Finished Goods _x000D_, 688.30 _x000D_, 544.46 _x000D_
Work-in-progress _x000D_," 1,097.28 _x000D_"," 1,268.78 _x000D_"
Consumables _x000D_, 19.33 _x000D_, 14.89 _x000D_
Goods-in-transit _x000D_,-   _x000D_,-   _x000D_
Less: Closing Inventories _x000D_,,
Finished Goods _x000D_, 41.65 _x000D_, 688.30 _x000D_
Work-in-progress _x000D_," 1,162.05 _x000D_"," 1,097.28 _x000D_"
Consumables _x000D_, 28.14 _x000D_, 19.33 _x000D_
Goods-in-transit _x000D_, 77.66 _x000D_,-   _x000D_
Total _x000D_, 495.41 _x000D_, 23.20 _x000D_
