Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Securities Premium _x000D_,,
Opening Balance _x000D_, 640.32 _x000D_, 105.19 _x000D_
Add: Issue of Shares _x000D_," 8,161.25 _x000D_", 640.32 _x000D_
(Add)/Less: Adjustment _x000D_, 936.80 _x000D_, 105.19 _x000D_
Closing Balance _x000D_," 7,864.77 _x000D_", 640.32 _x000D_
Surplus _x000D_,,
Balance at the beginning of the year _x000D_," 3,028.71 _x000D_"," 3,134.11 _x000D_"
Add: Surplus in the statement of Profit and Loss _x000D_," 2,573.78 _x000D_"," 1,359.94 _x000D_"
Less: Appropriation _x000D_,,
Bonus Issue of shares _x000D_,-   _x000D_," 1,058.41 _x000D_"
Restatement adjustment _x000D_,-   _x000D_, 406.94 _x000D_
Balance at the end of the year _x000D_," 5,602.48 _x000D_"," 3,028.71 _x000D_"
Total _x000D_," 13,467.25 _x000D_"," 3,669.03 _x000D_"
