Particulars _x000D_,Date of Allotment _x000D_,No. of Equity Shares _x000D_,Issue  Price _x000D_
Issue public offer _x000D_,"04th June, 2024 _x000D_","54,04,800 _x000D_",₹ 161/-_x000D_
