Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Royalty _x000D_,-   _x000D_,-   _x000D_
Know-how _x000D_,-   _x000D_,-   _x000D_
Professional and Consultation Fees _x000D_,-   _x000D_,-   _x000D_
Interest _x000D_,-   _x000D_,-   _x000D_
Total _x000D_,-   _x000D_,-   _x000D_
