Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
"Other loans and advances (Unsecured, considered good) _x000D_",,
- Loan to employees _x000D_, 9.89 _x000D_,-   _x000D_
Total _x000D_, 9.89 _x000D_,-   _x000D_
