(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2,Unnamed: 3
Particulars _x000D_,Relationship _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Debit _x000D_,,,
- Aimtron Technologies Private Limited _x000D_,Company with same management _x000D_,-   _x000D_, 3.30 _x000D_
- American Pinball USA _x000D_,Foreign Company with same management _x000D_, 511.66 _x000D_, 123.49 _x000D_
- Aimtron Design Studio USA _x000D_,Foreign Company with same management _x000D_,-   _x000D_, 3.93 _x000D_
- Aimtron Systems USA _x000D_,Foreign Company with same management _x000D_, 803.68 _x000D_, 37.09 _x000D_
- Aimtron Technologies LLC _x000D_,Foreign Company with same management _x000D_, 6.00 _x000D_, 7.33 _x000D_
- Aimtron Electronics LLC _x000D_,Wholly Owned Subsidiary Company _x000D_, 518.26 _x000D_,-   _x000D_
- Aimtron Corporation USA _x000D_,Foreign Company with same management _x000D_," 2,152.54 _x000D_",-   _x000D_
Credit _x000D_,,,
- Aimtron Corporation USA _x000D_,Foreign Company with same management _x000D_,-   _x000D_," 1,061.76 _x000D_"
- Aimtron Technologies Private Limited _x000D_,Company with same management _x000D_, 449.78 _x000D_,-   _x000D_
- Mukesh Vasani _x000D_,Director _x000D_, 64.06 _x000D_, 173.32 _x000D_
- Aimtron Corporation USA _x000D_,Foreign Company with same management _x000D_,-   _x000D_, 56.29 _x000D_
