(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2,Unnamed: 3
Particulars _x000D_,Note _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
CASH FLOW FROM FINANCING ACTIVITIES _x000D_,,,
Proceeds from Issue of Share Capital _x000D_,," 7,764.93 _x000D_", 686.72 _x000D_
Buyback of Shares _x000D_,,-   _x000D_,-   _x000D_
Proceeds from Long Term Borrowings _x000D_,," (1,229.21) _x000D_", (250.00) _x000D_
Repayment of Long Term Borrowings _x000D_,,-   _x000D_,-   _x000D_
Proceeds from Short Term Borrowings _x000D_,, (165.56) _x000D_, (10.17) _x000D_
Repayment of Short Term Borrowings _x000D_,,-   _x000D_,-   _x000D_
Minority Interest Movement _x000D_,,-   _x000D_,-   _x000D_
Restatement adjustments _x000D_,,-   _x000D_, (406.94) _x000D_
Interest Paid _x000D_,, (23.77) _x000D_, (158.21) _x000D_
Net Cash (Used in)/Generated from Financing Activities _x000D_,," 6,346.39 _x000D_", (138.60) _x000D_
Net Increase/(Decrease) in Cash and Cash Equivalents _x000D_,," 3,140.40 _x000D_", 348.52 _x000D_
Opening Balance of Cash and Cash Equivalents _x000D_,, 417.70 _x000D_, 69.18 _x000D_
Exchange difference of Foreign Currency Cash and Cash equivalents _x000D_,,-   _x000D_,-   _x000D_
Closing Balance of Cash and Cash Equivalents _x000D_,15 _x000D_," 3,558.10 _x000D_", 417.70 _x000D_
