(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2,Unnamed: 3
Particulars _x000D_,Relationship _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Rent Charged _x000D_,,,
- Aimtron Technologies Private Limited _x000D_,Company with same management _x000D_, 5.01 _x000D_, 6.12 _x000D_
Sales _x000D_,,,
- Aimtron Technologies LLC _x000D_,Foreign Company with same management _x000D_, 20.25 _x000D_, 3.94 _x000D_
- Aimtron Corporation USA _x000D_,Foreign Company with same management _x000D_," 3,030.06 _x000D_"," 3,825.84 _x000D_"
- American Pinball USA _x000D_,Foreign Company with same management _x000D_, 450.99 _x000D_, 122.51 _x000D_
- Aimtron Systems USA _x000D_,Foreign Company with same management _x000D_, 880.57 _x000D_, 177.28 _x000D_
- Aimtron Design Studio USA _x000D_,Foreign Company with same management _x000D_,-   _x000D_,-   _x000D_
Purchase _x000D_,,,
- Aimtron Corporation USA _x000D_,Foreign Company with same management _x000D_, 226.42 _x000D_, 190.65 _x000D_
- Aimtron Systems USA _x000D_,Foreign Company with same management _x000D_, 1.79 _x000D_,-   _x000D_
Loan repaid _x000D_,,,
- Aimtron Technologies Private Limited _x000D_,Company with same management _x000D_,-   _x000D_, 87.00 _x000D_
- Mukesh Vasani _x000D_,Director _x000D_, 64.00 _x000D_, 68.64 _x000D_
