(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Other non-current investments _x000D_,,
- Investment in Wholly Owned Subsidiary Company (at Cost) _x000D_, 518.27 _x000D_,-   _x000D_
"58,800 Unquoted Fully paid up Shares _x000D_",,
Total _x000D_, 518.27 _x000D_,-   _x000D_
