(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Raw materials _x000D_," 2,189.64 _x000D_"," 1,763.83 _x000D_"
Work-in-progress _x000D_," 1,162.05 _x000D_"," 1,097.28 _x000D_"
Finished goods _x000D_, 41.65 _x000D_, 688.30 _x000D_
Stock-in-trade _x000D_, 28.14 _x000D_, 19.33 _x000D_
Packing Material _x000D_, 8.48 _x000D_, 4.96 _x000D_
Goods-in-transit _x000D_, 77.66 _x000D_,-   _x000D_
Total _x000D_," 3,507.63 _x000D_"," 3,573.70 _x000D_"
