Resolution No. _x000D_,Name of Related Party _x000D_,Limit _x000D_
1 _x000D_,Aimtron Corporation _x000D_,Rs. 100 crores _x000D_
2 _x000D_,Aimtron Systems LLC _x000D_,Rs. 20 Crores _x000D_
