Particulars _x000D_, Outstanding for following periods from due date of payment _x000D_,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Total_x000D_
, Less than  6 months _x000D_, 6 months- 1 year _x000D_, 1-2 years _x000D_, 2-3 years _x000D_, More than  3 years _x000D_,
Undisputed Trade receivables- considered good _x000D_, 734.10 _x000D_, 26.68 _x000D_, 5.84 _x000D_, 160.81 _x000D_, 12.48 _x000D_, 939.92 _x000D_
Undisputed Trade Receivables- considered doubtful _x000D_,,,,,,-   _x000D_
Disputed Trade Receivables considered good _x000D_,,,,,,-   _x000D_
Disputed Trade Receivables considered doubtful _x000D_,,,,,,-   _x000D_
Sub total _x000D_,,,,,, 939.92 _x000D_
Undue - considered good _x000D_,,,,,, 727.86 _x000D_
Total   _x000D_,,,,,," 1,667.78 _x000D_"
