Particulars _x000D_," Jun, 2024 _x000D_"," Sept, 2024 _x000D_"," Dec, 2024 _x000D_"," Mar, 2025 _x000D_"
Current Assets as per Quarterly Return filed with Bank _x000D_," 4,941.22 _x000D_"," 5,351.04 _x000D_"," 6,481.75 _x000D_"," 12,181.24 _x000D_"
Current Assets as per Books of Account _x000D_,-   _x000D_,-   _x000D_,-   _x000D_,-   _x000D_
