Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Deferred Tax Assets _x000D_, 22.39 _x000D_, (14.35) _x000D_
Total _x000D_, 22.39 _x000D_, (14.35) _x000D_
