(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Security Deposits _x000D_,,
- Security Deposit  _x000D_, 15.46 _x000D_, 13.75 _x000D_
Bank Deposit having maturity of greater than 12 months _x000D_,,
- Fixed Deposit _x000D_, 354.26 _x000D_, 46.15 _x000D_
Total _x000D_, 369.72 _x000D_, 59.90 _x000D_
