(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
,,
Secured Term loans from banks _x000D_,-   _x000D_," 1,229.21 _x000D_"
Total _x000D_,-   _x000D_," 1,229.21 _x000D_"
