(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
,,
"Other loans and advances (Unsecured, considered good) _x000D_",,
- Loan to employees _x000D_, 9.89 _x000D_,-   _x000D_
Total _x000D_, 9.89 _x000D_,-   _x000D_
