(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Profit attributable to equity shareholders (₹ in lakhs) _x000D_," 2,563.09 _x000D_"," 1,359.94 _x000D_"
Weighted average number of Equity Shares _x000D_," 1,95,13,025 _x000D_"," 1,50,09,025 _x000D_"
Earnings per share basic (₹) _x000D_, 13.14 _x000D_, 9.06 _x000D_
Earnings per share diluted (₹) _x000D_, 13.14 _x000D_, 9.06 _x000D_
Face value per equity share (₹) _x000D_, 10 _x000D_, 10 _x000D_
