(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
,,
Raw Materials _x000D_," 5,111.53 _x000D_"," 3,233.91 _x000D_"
Components and Spare Parts _x000D_,-   _x000D_, 2.70 _x000D_
Capital goods _x000D_,-   _x000D_,-   _x000D_
Total _x000D_," 5,111.53 _x000D_"," 3,236.61 _x000D_"
