Particulars _x000D_,Country of Incorporation _x000D_,% shareholding as on 31/03/2025 _x000D_,% shareholding as on 31/03/2024 _x000D_
Aimtron Electronics LLC _x000D_,U.S.A. _x000D_,100 _x000D_,-_x000D_
