(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Current Tax _x000D_, 675.00 _x000D_, 486.00 _x000D_
Deferred Tax _x000D_, (36.75) _x000D_, 22.96 _x000D_
Prior Period Taxes _x000D_, 0.95 _x000D_,-   _x000D_
Total _x000D_, 639.20 _x000D_, 508.96 _x000D_
