(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Auditors' Remuneration _x000D_, 8.00 _x000D_, 8.00 _x000D_
Administrative expenses _x000D_,,
- Bank Charges _x000D_, 6.81 _x000D_, 0.02 _x000D_
- Others _x000D_, 52.18 _x000D_, 93.58 _x000D_
Advertisement _x000D_,,
- Advertising & Promotion _x000D_, 14.70 _x000D_, 0.85 _x000D_
Provision for Bad debts _x000D_, 51.90 _x000D_,-   _x000D_
Conveyance expenses _x000D_, 6.11 _x000D_, 4.24 _x000D_
Insurance _x000D_, 6.76 _x000D_, 3.97 _x000D_
Power and fuel _x000D_,,
- Electricity Expenses _x000D_, 58.45 _x000D_, 47.83 _x000D_
Professional fees _x000D_, 111.14 _x000D_, 151.25 _x000D_
Rent _x000D_, 1.04 _x000D_, 1.13 _x000D_
Repairs to buildings _x000D_, 52.67 _x000D_, 15.02 _x000D_
Repairs to machinery _x000D_, 0.88 _x000D_, 9.05 _x000D_
Repairs others _x000D_,12.94 _x000D_,15.45 _x000D_
Rates and taxes _x000D_,,
- Local Taxes Expense _x000D_, 5.94 _x000D_, 10.38 _x000D_
- Professional Tax Expense _x000D_, 2.80 _x000D_, 0.03 _x000D_
