(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Unsecured Loans and advances from related parties _x000D_,,
- Aimtron Corporation _x000D_,-   _x000D_, 56.29 _x000D_
- Unsecured loan from Director (without interest) _x000D_, 64.06 _x000D_, 173.32 _x000D_
Total _x000D_, 64.06 _x000D_, 229.61 _x000D_
