(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Payments to auditor as _x000D_,,
- Statutory Auditors _x000D_, 6.00 _x000D_, 6.00 _x000D_
- for taxation matters _x000D_, 2.00 _x000D_, 2.00 _x000D_
- for certification _x000D_, 1.60 _x000D_, 2.00 _x000D_
Total _x000D_, 9.60 _x000D_, 10.00 _x000D_
