(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Amount not utilized for the specific purpose _x000D_,-   _x000D_,-   _x000D_
Out of above amount: _x000D_,,
Invested in Bank FDR / Market Securities _x000D_,-   _x000D_,-   _x000D_
Invested in Business / Working Capital _x000D_,-   _x000D_,-   _x000D_
Invested in Business / Capital Assets _x000D_,-   _x000D_,-   _x000D_
