(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Advances to suppliers _x000D_,,
- Short Term - Advances to supplier - other _x000D_, 394.70 _x000D_, 129.75 _x000D_
Total _x000D_, 394.70 _x000D_, 129.75 _x000D_
