(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Cash on hand _x000D_, 0.13 _x000D_, 4.69 _x000D_
Balances with banks in current accounts _x000D_,,
- HDFC Bank _x000D_, 13.82 _x000D_,-   _x000D_
- ICICI Bank _x000D_, 217.53 _x000D_, 212.45 _x000D_
- ICICI Bank _x000D_, 2.57 _x000D_, 100.56 _x000D_
- Bank balance of Aimtron Electronics LLC _x000D_, 419.95 _x000D_,-   _x000D_
Bank Deposit having maturity of less than 3 months _x000D_,,
- Fixed Deposit Less than 3 months _x000D_," 2,904.10 _x000D_", 100.00 _x000D_
Total _x000D_," 3,558.10 _x000D_", 417.70 _x000D_
