Claims against the company not acknowledged as debt _x000D_,Unnamed: 1
In respect of Income Tax & TDS _x000D_,790.94 _x000D_
In respect of GST _x000D_,"1,300.00 _x000D_"
Total _x000D_,"2,090.94 _x000D_"
