(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
,,
Interest Income _x000D_, 234.87 _x000D_, 5.94 _x000D_
Other non-operating income (net of expenses) _x000D_,,
- Discount Received _x000D_, 1.02 _x000D_, 0.57 _x000D_
- Duty Drawback _x000D_, 40.67 _x000D_, 53.54 _x000D_
- Rent Income _x000D_, 5.01 _x000D_, 6.12 _x000D_
- Scrap Sales _x000D_, 10.72 _x000D_, 9.20 _x000D_
Total _x000D_, 292.29 _x000D_, 75.37 _x000D_
