(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Unsecured considered good _x000D_," 8,761.24 _x000D_"," 1,667.78 _x000D_"
Provision for doubtful debts _x000D_,,
- Provision for Bad Debts _x000D_, (51.90) _x000D_,-   _x000D_
Total _x000D_," 8,709.34 _x000D_"," 1,667.78 _x000D_"
