(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Expenses provided but allowable in Income tax on Payment basis _x000D_, (6.07) _x000D_, 7.25 _x000D_
Provision for doubtful debts _x000D_, (13.06) _x000D_,
Difference between book depreciation and tax depreciation _x000D_,-   _x000D_,
Difference between book depreciation and tax depreciation _x000D_, (17.61) _x000D_, 15.70 _x000D_
Total _x000D_, (36.75) _x000D_, 22.96 _x000D_
