(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Due to Micro and Small Enterprises _x000D_," 2,267.27 _x000D_", 63.36 _x000D_
Due to others _x000D_," 2,415.09 _x000D_", 505.10 _x000D_
Total _x000D_," 4,682.36 _x000D_", 568.46 _x000D_
