Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
"Depreciation on property, plant and equipment _x000D_", 311.18 _x000D_, 274.03 _x000D_
Depreciation on Building _x000D_, 68.05 _x000D_, 67.93 _x000D_
Depreciation On Computer & Software _x000D_, 25.35 _x000D_, 23.26 _x000D_
Depreciation On Electricals A/c. _x000D_, 6.81 _x000D_, 6.83 _x000D_
Depreciation On Furniture & Fixture _x000D_, 25.75 _x000D_, 22.55 _x000D_
Depreciation On Office Equipments _x000D_, 24.01 _x000D_, 15.09 _x000D_
Depreciation On Vehicles _x000D_, 2.65 _x000D_, 1.08 _x000D_
Total _x000D_, 463.80 _x000D_, 410.77 _x000D_
